,ts,vs,v0
67,1.7,0.2642545608357014,0.0
68,1.73,0.28093874358429155,0.0
69,1.75,0.29474914491435045,0.0
70,1.78,0.305333188930393,0.0
71,1.8,0.31467804952914064,0.0
72,1.83,0.325722945040076,0.0
73,1.85,0.34024756617805546,0.0
74,1.88,0.3552045752130274,0.0
75,1.9,0.3676463494325856,0.0
76,1.93,0.3782801878088666,0.0
77,1.95,0.3890114856111196,0.0
78,1.98,0.40083907912447286,0.0
79,2.0,0.41444132343193885,0.0
80,2.03,0.42805042737409366,0.0
81,2.05,0.4404462427080093,0.0
82,2.08,0.4514545342131655,0.0
83,2.1,0.46261015249176884,0.0
84,2.13,0.4755638086860045,0.0
85,2.15,0.48849785690277875,0.0
86,2.18,0.5027371814575947,0.0
87,2.2,0.5141311659166372,0.0
88,2.23,0.5242206222716673,0.0
89,2.25,0.536222567545934,0.0
90,2.28,0.5499734073683571,0.0
91,2.3,0.5626207155934224,0.0
92,2.33,0.5755112750782458,0.0
93,2.35,0.5855175842507951,0.0
94,2.38,0.5972292867352137,0.0
95,2.4,0.6084359079345636,0.0
96,2.43,0.6222607368765863,0.0
97,2.45,0.6375151899025072,0.0
98,2.48,0.6486259087477128,0.0
99,2.5,0.6600931513671725,0.0
100,2.53,0.6673652314851019,0.0
101,2.55,0.6823230363470305,0.0
102,2.58,0.6970664188342859,0.0
103,2.6,0.7104041170878461,0.0
104,2.63,0.722058107704236,0.0
105,2.65,0.7330820754820829,0.0
106,2.68,0.7458345522639904,0.0
107,2.7,0.7580200471225663,0.0
108,2.73,0.7698878402014284,0.0
109,2.75,0.7814628139806857,0.0
110,2.78,0.79344955459271,0.0
111,2.8,0.8059002457499107,0.0
112,2.83,0.8189440666561489,0.0
113,2.85,0.8338429875863939,0.0
114,2.88,0.8391998097552461,0.0
115,2.9,0.8494913413067012,0.0
116,2.93,0.8636598262447895,0.0
117,2.95,0.8803321847067308,0.0
118,2.98,0.8933340393645696,0.0
119,3.0,0.9063340741380935,0.0
120,3.03,0.9170169029223628,0.0
121,3.05,0.9272804398450522,0.0
122,3.08,0.9412132438318268,0.0
123,3.1,0.9550027707008029,0.0
124,3.13,0.9648834225143854,0.0
125,3.15,0.9776924243856288,0.0
126,3.18,0.9876671254807357,0.0
127,3.2,1.0012224094540838,0.0
128,3.23,1.0129021032846417,0.0
129,3.25,1.0279104477224967,0.0
130,3.28,1.04019394998087,0.0
131,3.3,1.049091130449356,0.0
132,3.33,1.0578584054223799,0.0
133,3.35,1.0663747801507724,0.0
134,3.38,1.0852413684929392,0.0
135,3.4,1.1021529117831401,0.0
136,3.43,1.1176591484553393,0.0
137,3.45,1.1244339653392024,0.0
138,3.48,1.1324014902635735,0.0
139,3.5,1.1398026791984106,0.0
140,3.53,1.1564427613683674,0.0
141,3.55,1.1761693395086557,0.0
142,3.58,1.187412201319219,0.0
143,3.6,1.1973356822848524,0.0
144,3.63,1.206222401120917,0.0
145,3.65,1.2173001629415086,0.0
146,3.68,1.2309260464862521,0.0
147,3.7,1.2456163087187828,0.0
148,3.73,1.2542639747634474,0.0
149,3.75,1.2648055068479205,0.0
